Customer ID,First Name,Last Name,Country,Phone,Email,Subscription Date
1,Bobby,Sloan,Mozambique,001-909-678-4031x135,mikaylacolon@example.com,2023-05-26
2,Karen,Frank,Greece,469-694-8225x5675,thompsonkimberly@example.com,2026-02-08
3,Mary,Gould,Jamaica,(262)954-3003x5130,dustinhowe@example.org,2021-03-26
4,Alyssa,Johnson,Montserrat,897.606.2047,kathleenclark@example.net,2022-09-29
5,Tonya,Reed,Nicaragua,+1-525-292-3374,amandaconrad@example.com,2023-01-09
6,Jason,Marshall,Zimbabwe,874-675-5201x57093,jamestaylor@example.org,2023-02-28
7,Shannon,Hill,Tuvalu,+1-643-440-2386x7387,mark84@example.org,2022-03-22
8,Rhonda,Anderson,Russian Federation,+1-528-898-9687x348,lunagregory@example.org,2022-02-04
9,Rachel,Hughes,Holy See (Vatican City State),+1-345-997-3478x996,sararobinson@example.net,2025-05-30
10,Ann,Singleton,Singapore,+1-511-417-2781x8895,irobles@example.com,2023-07-16
11,Evan,Flynn,Libyan Arab Jamahiriya,604-593-8954x865,christine29@example.net,2025-11-24
12,Brian,Porter,Bahrain,(235)653-6497,thomasbryant@example.com,2024-12-11
13,Nathan,Bruce,Cameroon,202.324.3493,davidstevenson@example.com,2020-12-01
14,Teresa,Williams,Montserrat,798-445-7071,seanhensley@example.com,2022-09-11
15,Joseph,Martin,South Africa,917.944.5995,timothypatterson@example.org,2023-12-16
16,Cheyenne,Williams,Norfolk Island,966-320-9598x8720,peterwatson@example.net,2023-11-26
17,Timothy,Evans,Djibouti,970.303.8875x72352,elizabethwest@example.com,2023-12-16
18,Amanda,Gonzalez,Gabon,400-889-9854,joseph27@example.com,2020-08-19
19,Andrew,Ramirez,Kenya,239-280-1856x65170,michael37@example.org,2023-12-11
20,Mary,Jensen,Wallis and Futuna,545.248.8389,melissa57@example.com,2020-03-22
21,Jon,Morgan,Bangladesh,339.264.8567x1350,hensonjonathan@example.net,2022-12-21
22,Eric,Hopkins,Paraguay,576-951-9353,jennifer18@example.net,2020-03-09
